Fips,Target
37079,0
37087,1
37089,1
37121,0
37179,1
37041,0
37005,0
37027,0
37035,1
37045,1
37049,1
37065,0
37077,1
37085,1
37093,0
37095,0
37097,1
37119,1
37131,0
37181,0
37147,1
37159,1
37039,0
37053,0
37067,1
37193,0
37055,0
37195,1
37149,0
37029,0
37043,0
37003,0
37017,0
37127,1
37031,1
37185,0
37015,0
37073,0
37075,0
37117,0
37115,0
37137,0
37143,0
37151,1
37157,0
37169,0
37051,1
37081,1
37187,0
37071,1
37099,1
37139,0
37007,0
37183,1
37125,1
37155,1
37167,0
37173,0
37199,0
37037,0
37069,0
37101,1
37145,0
37111,0
37103,0
37113,0
37019,1
37175,0
37009,0
37047,0
37013,0
37123,0
37107,1
37109,1
37133,1
37153,0
37161,0
37135,1
37163,0
37171,1
37197,0
37011,0
37021,1
37057,1
37091,0
37105,0
37129,1
37023,1
37025,1
37059,0
37061,0
37063,1
37141,0
37165,0
37189,1
37191,1
37083,0
37177,0
37033,0
37001,1
