Fips,Target
54063,0
54063,1
1101,1
1101,0
5097,1
5097,0
13209,1
13209,0
19137,1
19137,0
17135,1
17135,0
18107,1
18107,0
20125,1
20125,0
21173,1
21173,0
24031,1
24031,0
29139,1
29139,0
28097,1
28097,0
37123,1
37123,0
36057,1
36057,0
39113,1
39113,0
42091,1
42091,0
47125,1
47125,0
48339,1
48339,0
51121,1
51121,0
1103,0
1103,1
8087,0
8087,1
13211,0
13211,1
17137,0
17137,1
18109,0
18109,1
21175,0
21175,1
29141,0
29141,1
39115,0
39115,1
47129,0
47129,1
49029,0
49029,1
54065,0
54065,1
1105,1
1105,0
5105,1
5105,0
17145,1
17145,0
18123,1
18123,0
21193,1
21193,0
29157,1
29157,0
28111,1
28111,0
39127,1
39127,0
42099,1
42099,0
47135,1
47135,0
1107,0
1107,1
13227,0
13227,1
45077,0
45077,1
1109,1
1109,0
5109,1
5109,0
13231,1
13231,0
17149,1
17149,0
18125,1
18125,0
21195,1
21195,0
29163,1
29163,0
28113,1
28113,0
39131,1
39131,0
42103,1
42103,0
1111,1
1111,0
5121,1
5121,0
13243,1
13243,0
17157,1
17157,0
18135,1
18135,0
29175,1
29175,0
37151,1
37151,0
54083,1
54083,0
1113,1
1113,0
20167,1
20167,0
21207,1
21207,0
51167,1
51167,0
1117,1
1117,0
19165,1
19165,0
17173,1
17173,0
18145,1
18145,0
21211,1
21211,0
29205,1
29205,0
39149,1
39149,0
47157,1
47157,0
48419,1
48419,0
1119,0
1119,1
12119,0
12119,1
13261,0
13261,1
45085,0
45085,1
1121,1
1123,1
1125,0
1127,1
13295,1
48471,1
1129,1
1129,0
5143,1
5143,0
8121,1
8121,0
12133,1
12133,0
13303,1
13303,0
19183,1
19183,0
16087,1
16087,0
17189,1
17189,0
18175,1
18175,0
20201,1
20201,0
21229,1
21229,0
24043,1
24043,0
23029,1
23029,0
27163,1
27163,0
29221,1
29221,0
28151,1
28151,0
37187,1
37187,0
31177,1
31177,0
36115,1
36115,0
39167,1
39167,0
40147,1
40147,0
41067,1
41067,0
42125,1
42125,0
44009,1
44009,0
47179,1
47179,0
48477,1
48477,0
49053,1
49053,0
51191,1
51191,0
50023,1
50023,0
55131,1
55131,0
1131,0
1131,1
13315,0
13315,1
1133,0
28159,0
5001,1
5003,1
5005,1
5007,0
5007,1
19011,0
19011,1
18007,0
18007,1
27009,0
27009,1
29015,0
29015,1
28009,0
28009,1
41003,0
41003,1
47005,0
47005,1
53005,0
53005,1
5009,0
5009,1
19015,0
19015,1
17007,0
17007,1
18011,0
18011,1
21015,0
21015,1
29019,0
29019,1
31011,0
31011,1
54005,0
54005,1
5011,1
47011,1
5015,1
5015,0
13045,1
13045,0
19027,1
19027,0
17015,1
17015,0
18015,1
18015,0
21041,1
21041,0
24013,1
24013,0
29033,1
29033,0
28015,1
28015,0
33003,1
33003,0
39019,1
39019,0
47017,1
47017,0
51035,1
51035,0
5017,1
5019,1
5019,0
17023,1
17023,0
18019,1
18019,0
20025,1
20025,0
21049,1
21049,0
29045,1
29045,0
32003,1
32003,0
39023,1
39023,0
46025,1
46025,0
53011,1
53011,0
55019,1
55019,0
5025,1
5025,0
37045,1
37045,0
40027,1
40027,0
5027,1
5027,0
12023,1
12023,0
13073,1
13073,0
36021,1
36021,0
41009,1
41009,0
42037,1
42037,0
53013,1
53013,0
55021,1
55021,0
5029,0
5031,0
5033,1
5033,0
13079,1
13079,0
19047,1
19047,0
17033,1
17033,0
18025,1
18025,0
20037,1
20037,0
26039,1
26039,0
29055,1
29055,0
39033,1
39033,0
42039,1
42039,0
55023,1
55023,0
5035,1
5035,0
21055,1
21055,0
5037,1
5041,1
5043,1
5045,0
5049,0
5049,1
13121,0
13121,1
17057,0
17057,1
18049,0
18049,1
21075,0
21075,1
36035,0
36035,1
39051,0
39051,1
42057,0
42057,1
5051,0
5053,0
5053,1
18053,0
18053,1
20067,0
20067,1
21081,0
21081,1
27051,0
27051,1
38037,0
38037,1
35017,0
35017,1
40053,0
40053,1
41023,0
41023,1
46051,0
46051,1
53025,0
53025,1
55043,0
55043,1
54023,0
54023,1
5057,0
5059,1
5061,1
5061,0
19089,1
19089,0
18067,1
18067,0
24027,1
24027,0
29089,1
29089,0
31093,1
31093,0
48227,1
48227,0
5063,1
5065,1
5071,0
5071,1
13167,0
13167,1
19103,0
19103,1
17087,0
17087,1
18081,0
18081,1
20091,0
20091,1
21115,0
21115,1
29101,0
29101,1
31097,0
31097,1
47091,0
47091,1
48251,0
48251,1
56019,0
56019,1
5073,0
5073,1
12067,0
12067,1
29107,0
29107,1
28071,0
28071,1
55065,0
55065,1
5079,1
5079,0
8073,1
8073,0
13181,1
13181,0
16063,1
16063,0
20105,1
20105,0
21137,1
21137,0
23015,1
23015,0
27081,1
27081,0
29113,1
29113,0
28085,1
28085,0
30053,1
30053,0
37109,1
37109,0
31111,1
31111,0
35027,1
35027,0
32017,1
32017,0
40081,1
40081,0
41041,1
