Fips,Target
1001,0
1003,0
1005,0
1007,1
1009,1
1011,0
1013,0
1015,0
1017,0
1019,0
1021,0
1023,1
1025,0
1027,0
1029,1
1031,0
1033,1
1035,0
1037,0
1039,1
1041,0
1043,1
1045,1
1047,0
1049,0
1051,0
1053,0
1055,1
1057,0
1059,1
1061,0
1063,0
1065,0
1067,0
1069,0
1071,0
1073,1
1075,1
1077,0
1079,0
1081,0
1083,1
1085,1
1087,1
1089,1
1091,1
1093,1
1095,0
1097,0
1099,0
1101,0
1103,0
1105,0
1107,1
1109,0
1111,1
1113,0
1115,0
1117,1
1119,1
1121,1
1123,0
1125,1
1127,1
1129,0
1131,1
1133,1
4001,0
4003,1
4005,0
4007,1
4009,1
4011,0
4012,0
4013,0
4015,0
4017,0
4019,1
4021,1
4023,0
4025,1
4027,0
5001,0
5003,1
5005,0
5007,1
5009,0
5011,0
5013,0
5015,1
5017,0
5019,1
5021,0
5023,1
5025,0
5027,0
5029,1
5031,0
5033,0
5035,1
5037,1
5039,0
5041,0
5043,0
5045,1
5047,1
5049,0
5051,0
5053,0
5055,0
5057,0
5059,0
5061,1
5063,0
5065,0
5067,0
5069,1
5071,0
5073,0
5075,0
5077,0
5079,1
5081,1
5083,1
5085,0
5087,1
5089,1
5091,1
5093,0
5095,0
5097,0
5099,1
5101,0
5103,1
5105,0
5107,0
5109,0
5111,0
5113,1
5115,0
5117,0
5119,0
5121,1
5123,0
5125,0
5127,1
5129,1
5131,0
5133,0
5135,0
5137,0
5139,0
5141,1
5143,0
5145,0
5147,0
5149,1
6001,0
6003,0
6005,0
6007,0
6009,0
6011,0
6013,0
6015,1
6017,1
6019,0
6021,0
6023,1
6025,0
6027,0
6029,0
6031,0
6033,0
6035,1
6037,1
6039,0
6041,0
6043,0
6045,1
6047,0
6049,1
6051,0
6053,1
6055,1
6057,1
6059,0
6061,0
6063,1
6065,0
6067,0
6069,0
6071,0
6073,0
6075,0
6077,0
6079,0
6081,0
6083,0
6085,1
6087,0
6089,0
6091,0
6093,0
6095,1
6097,1
6099,0
6101,0
6103,0
6105,1
6107,0
6109,0
6111,1
6113,0
6115,1
8001,1
8003,0
8005,1
8007,1
8009,0
8011,1
8013,1
8014,0
8015,1
8017,0
8019,0
8021,1
8023,0
8025,0
8027,1
8029,0
8031,0
8033,0
8035,0
8037,0
8039,0
8041,0
8043,0
8045,0
8047,0
8049,0
8051,0
8053,0
8055,0
8057,0
8059,1
8061,1
8063,0
8065,0
8067,1
8069,0
8071,0
8073,1
8075,1
8077,0
8079,1
8081,0
8083,0
8085,1
8087,0
8089,1
8091,0
8093,0
8095,0
8097,0
8099,0
8101,0
8103,0
8105,0
8107,1
8109,0
8111,1
8113,1
8115,0
8117,0
8119,0
8121,0
8123,0
8125,0
9001,1
9003,1
9005,0
9007,0
9009,1
9011,1
9013,1
9015,1
10001,1
10003,0
10005,0
12001,1
12003,0
12005,0
12007,0
12009,1
12011,0
12013,0
12015,0
12017,0
12019,0
12021,0
12023,0
12027,0
12029,0
12031,0
12033,0
12035,0
12037,1
12039,0
12041,0
12043,0
12045,0
12047,0
12049,0
12051,0
12053,1
