Fips,Target
46003,0
46051,0
46123,0
46085,0
46039,0
46137,0
46115,0
46009,0
46011,0
46015,0
46047,0
46053,0
46057,0
46071,0
46099,1
46033,0
46069,0
46025,0
46049,0
46077,0
46067,0
46027,0
46017,0
46129,0
46037,0
46041,0
46043,0
46063,0
46065,0
46089,0
46111,0
46109,0
46119,0
46059,0
46083,0
46079,0
46081,0
46135,0
46005,0
46029,0
46019,0
46031,0
46035,0
46045,0
46021,0
46073,0
46007,0
46055,0
46117,0
46075,0
46093,0
46107,0
46125,0
46013,0
46023,0
46061,0
46087,0
46091,0
46095,0
46101,0
46103,1
46105,0
46121,0
46127,1
46097,0
46102,0
