feature,level of importance
X7,0.1186527712619693
X6,0.10435827433422752
X2,0.09059625484314111
X14,0.07838370161225161
X13,0.07818379941756345
X1,0.0772545026970343
X12,0.06214435589279179
X11,0.06202029281218282
X4,0.06104247435835188
X10,0.05681487506255145
X8,0.05563102715664498
X5,0.05507365049460055
X3,0.054173041705510065
X9,0.04567097835117916
Random Forest - Training Accuracy after tuning:,1.0
Random Forest - Testing Accuracy after tuning:,0.9327992879394749
