Fips,Target
13187,0
13189,0
13201,0
13211,0
13149,0
13095,1
13111,0
13219,0
13151,1
13175,0
13153,0
13183,0
13255,0
13271,0
13257,0
13291,0
13293,0
13303,0
13311,0
13223,0
13231,0
13225,0
13229,0
13245,1
13251,0
13267,0
13019,0
13295,0
13013,0
13135,1
13049,0
13065,0
13015,0
13097,0
13313,1
13131,0
13161,0
13141,0
13037,0
13193,0
13021,1
13285,0
13145,0
13197,0
13249,0
13321,0
13023,0
13093,0
13307,0
13103,0
13171,0
13109,0
13119,0
13125,0
13107,0
13239,0
13051,1
13159,0
13167,0
13173,0
13179,0
13195,0
13253,0
13205,0
13289,0
13233,0
13277,0
13263,0
13269,0
13273,0
13275,1
13279,0
13319,0
13209,0
13221,0
13243,0
13247,1
13299,0
13305,0
13309,0
13315,0
13009,0
13101,0
13061,0
13031,0
13059,1
13127,0
13089,1
13143,0
13157,1
13163,0
13169,0
13181,0
13213,0
13215,1
13235,0
13241,0
13259,0
13281,0
13283,0
13287,0
13155,0
13003,0
13005,0
13001,0
13025,0
13017,0
13033,0
13053,0
13055,0
13047,0
13073,0
13087,0
13137,0
13147,0
13185,0
13115,1
13117,1
13191,0
13199,0
13207,0
13237,0
13261,0
13301,0
13007,0
13029,0
13035,0
13043,0
13045,0
13039,0
13079,0
13099,0
13011,0
13081,0
13077,0
13069,0
13067,1
13083,0
13297,0
13317,0
13123,0
13027,0
13091,0
13129,1
13105,0
13113,1
13165,0
13177,0
13217,0
13227,0
13057,0
13133,0
13071,0
13075,0
13085,0
13063,1
13121,1
13139,1
