Fips,Target
36095,0
36005,1
36035,0
36069,1
36067,1
36079,0
36019,0
36099,0
36083,0
36033,0
36043,0
36081,1
36101,1
36021,0
36085,1
36097,0
36045,0
36041,0
36115,0
36013,1
36047,1
36061,1
36107,0
36011,0
36073,0
36091,1
36087,1
36049,0
36063,0
36119,1
36025,0
36031,0
36057,0
36059,1
36089,1
36109,1
36113,0
36017,0
36027,1
36023,0
36065,1
36103,1
36055,1
36111,0
36121,0
36015,0
36051,0
36075,1
36117,0
36007,1
36093,1
36037,0
36071,1
36039,0
36077,1
36001,1
36003,0
36009,0
36029,1
36053,0
36105,0
36123,0
