Fips,Target
37079,0
37087,0
37045,0
37121,0
37041,0
37035,1
37077,0
37005,0
37027,0
37049,0
37065,0
37089,0
37097,1
37085,0
37093,0
37095,0
37067,1
37119,1
37131,0
37147,1
37159,1
37181,0
37039,0
37053,0
37179,1
37193,1
37055,0
37127,0
37003,0
37017,0
37031,0
37195,1
37185,0
37073,0
37015,0
37075,0
37143,0
37117,0
37115,0
37137,0
37149,0
37151,0
37187,0
37157,0
37169,0
37029,0
37043,0
37051,1
37081,1
37071,1
37099,0
37139,0
37183,1
37125,0
37155,1
37173,0
37167,0
37007,0
37199,0
37037,0
37069,0
37101,0
37103,0
37111,0
37113,0
37145,0
37019,1
37175,0
37009,0
37047,0
37123,0
37133,0
37013,0
37107,0
37109,0
37135,0
37153,0
37161,0
37171,1
37197,0
37011,0
37021,1
37057,1
37091,0
37129,1
37141,0
37189,0
37163,0
37023,0
37025,1
37063,1
37059,0
37061,1
37105,0
37191,0
37165,0
37083,0
37177,0
37033,0
37001,1
