Fips,Target
51127,0
51015,1
51131,0
51049,0
51051,0
51075,1
51083,0
51113,0
51107,1
51153,1
51161,1
51175,0
51091,0
51025,0
51033,0
51073,0
51750,0
51141,0
51145,0
51163,0
51171,0
51061,1
51065,0
51720,0
51790,0
51001,0
51007,0
51840,1
51063,0
51045,0
51077,0
51047,0
51071,0
51135,0
51157,0
51036,0
51053,0
51079,0
51085,1
51111,0
51137,0
51003,1
51595,0
51197,0
51550,1
51570,0
51660,0
51580,0
51005,0
51021,0
51023,0
51019,0
51029,0
51195,0
51520,0
51740,1
51830,0
51810,1
51035,0
51133,0
51139,0
51640,0
51191,1
51193,0
51155,0
51590,1
51187,0
51510,1
51650,1
51630,1
51009,0
51017,0
51670,0
51013,1
51027,0
51199,0
51700,1
51069,0
51680,1
51179,1
51760,1
51530,0
51730,1
51690,0
51125,0
51057,0
51143,0
51185,0
51610,1
51685,0
51735,0
51183,0
51820,0
51600,1
51683,1
51770,1
51800,1
51775,1
51037,0
51710,1
51041,1
51059,1
51081,0
51093,0
51095,1
51620,0
51173,0
51167,0
51540,1
51678,0
51031,0
51109,0
51115,0
51087,1
51089,0
51099,1
51101,0
51103,0
51105,0
51147,0
51119,0
51149,0
51159,0
51165,1
51169,0
51177,1
51181,0
51011,0
51043,0
51067,0
51097,0
51117,0
51121,1
