Fips,Target
36095,0
36005,1
36035,1
36079,1
36067,1
36083,1
36019,1
36099,0
36069,1
36033,1
36043,0
36081,1
36101,1
36021,1
36041,0
36115,0
36013,1
36061,1
36047,1
36107,0
36011,1
36073,0
36091,1
36087,1
36063,1
36049,0
36085,1
36089,1
36119,1
36025,0
36031,0
36057,1
36059,1
36097,0
36109,1
36023,0
36113,1
36017,0
36027,1
36045,1
36065,1
36103,1
36111,1
36055,1
36121,0
36015,1
36051,0
36075,1
36077,1
36117,0
36039,0
36007,1
36001,1
36003,0
36009,1
36029,1
36053,1
36093,1
36105,1
36037,0
36123,0
36071,1
