Fips,Target
22083,0
22099,0
22085,0
22115,0
22127,0
22033,1
22065,0
22003,0
22093,0
22053,0
22125,0
22043,0
22015,1
22051,1
22013,0
22011,0
22023,0
22037,0
22095,1
22117,0
22075,0
22073,1
22079,1
22097,1
22101,1
22123,0
22105,1
22001,0
22103,1
22017,1
22111,0
22021,0
22035,0
22005,1
22055,1
22039,0
22045,1
22061,0
22087,0
22119,0
22031,0
22091,0
22121,1
22047,0
22081,0
22063,1
22067,0
22109,1
22069,0
22025,0
22071,1
22019,1
22027,0
22041,0
22007,0
22009,0
22049,0
22077,0
22089,1
22113,0
22057,1
22107,0
22059,0
22029,0
